City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Lebu,CL,2022-04-07 02:09:37,-37.6167,-73.65,55.83,92,100,4.03
1,Ushuaia,AR,2022-04-07 02:09:37,-54.8,-68.3,38.86,70,40,14.97
2,Busselton,AU,2022-04-07 02:09:37,-33.65,115.3333,73.4,44,41,9.44
3,Rio Grande,BR,2022-04-07 02:09:38,-32.035,-52.0986,64.17,83,1,10.85
4,Quelimane,MZ,2022-04-07 02:09:38,-17.8786,36.8883,73.44,96,39,3.98
5,Chokurdakh,RU,2022-04-07 02:09:38,70.6333,147.9167,-1.17,82,2,5.19
6,Hobart,AU,2022-04-07 02:05:52,-42.8794,147.3294,67.01,50,20,5.75
7,Hermanus,ZA,2022-04-07 02:09:39,-34.4187,19.2345,51.8,65,93,8.34
8,Butaritari,KI,2022-04-07 02:09:39,3.0707,172.7902,81.57,76,62,18.81
9,Alpena,US,2022-04-07 02:09:40,45.0617,-83.4327,34.11,99,75,3.44
10,Punta Arenas,CL,2022-04-07 02:09:40,-53.15,-70.9167,37.51,70,0,6.91
11,Arraial Do Cabo,BR,2022-04-07 02:09:40,-22.9661,-42.0278,75.36,84,19,8.14
12,Kapaa,US,2022-04-07 02:09:41,22.0752,-159.319,80.58,78,20,17.27
13,Vaini,TO,2022-04-07 02:09:41,-21.2,-175.2,81.21,75,100,12.21
14,Ambatofinandrahana,MG,2022-04-07 02:09:41,-20.55,46.8,57.83,96,17,3.0
15,Kapit,MY,2022-04-07 02:09:20,2.0167,112.9333,76.12,93,100,0.6
16,Ornskoldsvik,SE,2022-04-07 02:09:42,63.2909,18.7153,23.95,100,100,4.61
17,Hilo,US,2022-04-07 02:06:50,19.7297,-155.09,71.33,90,100,6.91
18,Mezen,RU,2022-04-07 02:09:42,65.8522,44.24,28.36,95,100,8.99
19,Clyde River,CA,2022-04-07 02:09:43,70.4692,-68.5914,-4.4,86,9,3.6
20,Tasiilaq,GL,2022-04-07 02:09:43,65.6145,-37.6368,28.56,92,97,4.76
21,Tuktoyaktuk,CA,2022-04-07 02:09:43,69.4541,-133.0374,16.07,94,49,7.4
22,Hovd,MN,2022-04-07 02:09:44,48.0056,91.6419,50.83,17,95,5.44
23,Saskylakh,RU,2022-04-07 02:09:44,71.9167,114.0833,-5.71,95,39,6.08
24,Upernavik,GL,2022-04-07 02:09:44,72.7868,-56.1549,-8.09,100,94,6.87
25,Srednekolymsk,RU,2022-04-07 02:09:45,67.45,153.6833,8.49,83,6,10.07
26,Ponta Do Sol,PT,2022-04-07 02:09:45,32.6667,-17.1,61.0,74,35,2.51
27,Mataura,NZ,2022-04-07 02:09:45,-46.1927,168.8643,55.94,43,47,4.7
28,Port Elizabeth,ZA,2022-04-07 02:08:38,-33.918,25.5701,56.32,80,49,8.99
29,Avarua,CK,2022-04-07 02:09:46,-21.2078,-159.775,84.25,74,20,13.8
30,Hudiksvall,SE,2022-04-07 02:09:46,61.729,17.1036,27.66,78,32,3.42
31,Ubinskoye,RU,2022-04-07 02:09:46,55.3068,79.6802,31.12,87,20,8.99
32,Caravelas,BR,2022-04-07 02:09:47,-17.7125,-39.2481,76.26,83,3,3.58
33,Poum,NC,2022-04-07 02:09:47,-20.2333,164.0167,81.23,81,100,22.3
34,Ancud,CL,2022-04-07 02:09:48,-41.8697,-73.8203,57.22,98,100,7.83
35,La Ronge,CA,2022-04-07 02:09:48,55.1001,-105.2842,30.96,85,99,4.72
36,Dingle,PH,2022-04-07 02:09:48,10.9995,122.6711,79.63,83,100,10.67
37,Beyneu,KZ,2022-04-07 02:09:49,45.3167,55.2,51.64,64,38,3.8
38,Dikson,RU,2022-04-07 02:09:49,73.5069,80.5464,-0.99,99,100,14.47
39,Leningradskiy,RU,2022-04-07 02:09:49,69.3833,178.4167,-1.16,86,100,21.3
40,Airai,TL,2022-04-07 02:09:50,-8.9266,125.4092,74.86,51,64,2.55
41,Rikitea,PF,2022-04-07 02:09:50,-23.1203,-134.9692,78.6,66,0,11.5
42,Alcantara,BR,2022-04-07 02:09:50,-2.4089,-44.4147,79.0,92,98,5.86
43,Garmsar,IR,2022-04-07 02:09:51,35.2182,52.3409,66.0,21,97,0.94
44,Bluff,NZ,2022-04-07 02:09:51,-46.6,168.3333,53.44,58,83,12.03
45,Katsuura,JP,2022-04-07 02:10:51,35.1333,140.3,59.77,73,100,10.89
46,Norman Wells,CA,2022-04-07 02:08:02,65.282,-126.8329,31.46,92,6,5.26
47,Jamestown,US,2022-04-07 02:10:52,42.097,-79.2353,53.24,76,100,11.01
48,Albany,US,2022-04-07 02:06:55,42.6001,-73.9662,50.65,73,100,5.01
49,Whyalla,AU,2022-04-07 02:10:52,-33.0333,137.5833,67.89,64,0,18.41
50,Tura,IN,2022-04-07 02:10:53,25.5198,90.2201,73.69,80,76,3.87
51,Mednogorsk,RU,2022-04-07 02:10:53,51.4128,57.595,35.98,99,100,8.05
52,Deputatskiy,RU,2022-04-07 02:10:53,69.3,139.9,-8.23,99,100,5.3
53,Porto Velho,BR,2022-04-07 02:10:54,-8.7619,-63.9039,78.85,94,40,0.0
54,Kununurra,AU,2022-04-07 02:10:54,-15.7667,128.7333,91.38,62,11,5.75
55,Cabo San Lucas,MX,2022-04-07 02:07:33,22.8909,-109.9124,71.62,70,0,9.22
56,Yellowknife,CA,2022-04-07 02:07:19,62.456,-114.3525,25.18,95,100,3.91
57,Likasi,CD,2022-04-07 02:10:55,-10.9814,26.7333,62.85,98,100,4.27
58,Colwyn Bay,GB,2022-04-07 02:10:55,53.2948,-3.7267,48.06,79,100,20.0
59,Vestmannaeyjar,IS,2022-04-07 02:10:55,63.4427,-20.2734,30.25,53,1,5.17
60,Parrita,CR,2022-04-07 02:10:56,9.5201,-84.3225,79.7,85,100,0.72
61,Mahebourg,MU,2022-04-07 02:10:56,-20.4081,57.7,74.25,70,98,12.01
62,Ipinda,TZ,2022-04-07 02:10:56,-9.4833,33.9,70.47,83,76,2.39
63,Paita,PE,2022-04-07 02:10:57,-5.0892,-81.1144,71.78,79,56,18.92
64,Harper,LR,2022-04-07 02:10:57,4.375,-7.7169,79.45,86,82,5.88
65,Kutum,SD,2022-04-07 02:10:57,14.2,24.6667,74.77,14,6,9.64
66,Pueblo Bello,CO,2022-04-07 02:10:58,8.2041,-76.526,75.72,95,100,1.45
67,Bredasdorp,ZA,2022-04-07 02:10:58,-34.5322,20.0403,56.98,67,91,6.17
68,Samarai,PG,2022-04-07 02:10:59,-10.6167,150.6667,84.97,70,57,17.22
69,Iqaluit,CA,2022-04-07 02:06:12,63.7506,-68.5145,0.7,77,1,17.0
70,Ewa Beach,US,2022-04-07 02:10:59,21.3156,-158.0072,84.15,55,40,16.11
71,Sao Joao Da Barra,BR,2022-04-07 02:10:59,-21.6403,-41.0511,75.56,84,100,6.4
72,Santiago,CL,2022-04-07 02:09:17,-33.4569,-70.6483,70.99,45,0,4.61
73,Severo-Kurilsk,RU,2022-04-07 02:11:00,50.6789,156.125,35.46,93,100,14.9
74,Burnie,AU,2022-04-07 02:11:00,-41.0667,145.9167,60.73,59,0,6.08
75,Ilulissat,GL,2022-04-07 02:11:01,69.2167,-51.1,23.02,86,75,6.91
76,Tamworth,GB,2022-04-07 02:11:01,52.634,-1.6959,46.92,73,35,13.0
77,Darhan,MN,2022-04-07 02:10:45,49.4867,105.9228,54.66,34,11,6.71
78,Odweyne,SO,2022-04-07 02:11:01,9.4092,45.064,68.43,35,0,9.46
79,Eydhafushi,MV,2022-04-07 02:11:02,5.1033,73.0708,83.12,68,10,4.38
80,Ponta Delgada,PT,2022-04-07 02:11:02,37.7333,-25.6667,61.52,88,75,19.57
81,Olinda,BR,2022-04-07 02:11:02,-8.0089,-34.8553,82.13,74,75,4.61
82,Niono,ML,2022-04-07 02:11:03,14.2526,-5.993,87.01,13,57,12.1
83,Broken Hill,AU,2022-04-07 02:11:03,-31.95,141.4333,71.28,41,0,12.91
84,Half Moon Bay,US,2022-04-07 02:11:03,37.4636,-122.4286,78.19,51,0,17.27
85,Krasnoselkup,RU,2022-04-07 02:11:04,65.7,82.4667,18.34,92,100,7.94
86,Madang,PG,2022-04-07 02:11:04,-5.2246,145.7966,86.77,65,92,4.05
87,Lata,PT,2022-04-07 02:11:04,40.1629,-8.3327,54.81,81,100,3.49
88,Husavik,IS,2022-04-07 02:11:05,66.0449,-17.3389,24.71,81,99,7.16
89,Santa Isabel Do Rio Negro,BR,2022-04-07 02:11:05,-0.4139,-65.0192,73.8,97,100,2.64
90,Smolenka,RU,2022-04-07 02:11:06,52.1352,113.4974,34.95,86,40,4.47
91,Ngunguru,NZ,2022-04-07 02:11:06,-35.6167,174.5,70.0,48,64,11.65
92,Namibe,AO,2022-04-07 02:11:06,-15.1961,12.1522,71.53,75,0,4.99
93,Faanui,PF,2022-04-07 02:12:07,-16.4833,-151.75,82.8,74,51,22.28
94,Mount Isa,AU,2022-04-07 02:12:07,-20.7333,139.5,91.17,15,0,18.41
95,Atuona,PF,2022-04-07 02:12:07,-9.8,-139.0333,79.36,75,16,16.71
96,Pisco,PE,2022-04-07 02:12:08,-13.7,-76.2167,66.25,88,0,16.11
97,Kenai,US,2022-04-07 02:12:08,60.5544,-151.2583,45.03,58,0,11.5
98,Palana,RU,2022-04-07 02:12:09,59.1167,159.9667,26.73,80,100,6.15
99,Lafiagi,NG,2022-04-07 02:12:09,8.8667,5.4167,84.63,56,97,3.33
100,Poya,NC,2022-04-07 02:12:09,-21.35,165.15,80.69,85,100,14.85
101,Cape Town,ZA,2022-04-07 02:12:10,-33.9258,18.4232,55.11,81,78,10.04
102,Beringovskiy,RU,2022-04-07 02:12:10,63.05,179.3167,4.23,66,20,5.32
103,Presidencia Roque Saenz Pena,AR,2022-04-07 02:12:10,-26.7852,-60.4388,73.06,95,97,5.82
104,Port Alfred,ZA,2022-04-07 02:12:11,-33.5906,26.891,57.18,73,52,8.01
105,Coihaique,CL,2022-04-07 02:07:53,-45.5752,-72.0662,40.95,93,100,4.61
106,Souillac,MU,2022-04-07 02:12:11,-20.5167,57.5167,76.19,73,96,11.77
107,Dabola,GN,2022-04-07 02:12:12,10.75,-11.1167,80.02,63,100,7.02
108,Puerto Ayora,EC,2022-04-07 02:12:12,-0.7393,-90.3518,77.85,88,87,6.69
109,Batagay-Alyta,RU,2022-04-07 02:12:12,67.8006,130.4114,7.59,81,88,3.8
110,Tiksi,RU,2022-04-07 02:12:13,71.6872,128.8694,-6.99,99,100,6.55
111,Khatanga,RU,2022-04-07 02:12:13,71.9667,102.5,15.35,82,100,17.0
112,Victoria,HK,2022-04-07 02:07:41,22.2855,114.1577,78.96,64,46,4.0
113,Monrovia,LR,2022-04-07 02:12:14,6.3005,-10.7969,74.97,89,100,4.94
114,Voyvozh,RU,2022-04-07 02:12:14,62.892,54.9635,26.42,95,100,7.56
115,Pochutla,MX,2022-04-07 02:12:14,15.7432,-96.4661,78.82,74,9,5.84
116,Mandera,KE,2022-04-07 02:12:15,3.9366,41.867,80.35,60,3,13.33
117,Touros,BR,2022-04-07 02:12:15,-5.1989,-35.4608,79.23,79,58,9.98
118,Nanortalik,GL,2022-04-07 02:12:15,60.1432,-45.2371,28.99,90,85,6.44
119,Sorland,NO,2022-04-07 02:12:16,67.667,12.6934,36.66,62,100,14.27
120,Bilibino,RU,2022-04-07 02:12:16,68.0546,166.4372,0.05,84,67,3.36
121,Zlobin,HR,2022-04-07 02:12:16,45.2924,14.6541,42.15,92,75,2.3
122,Georgetown,MY,2022-04-07 02:11:49,5.4112,100.3354,82.33,78,20,4.61
123,Manjacaze,MZ,2022-04-07 02:12:17,-24.7117,33.8828,70.65,87,0,7.16
124,Carnarvon,AU,2022-04-07 02:08:22,-24.8667,113.6333,86.07,62,6,10.36
125,Christiansburg,US,2022-04-07 02:12:17,37.1298,-80.4089,66.4,70,75,6.91
126,Saint-Raphael,HT,2022-04-07 02:12:18,19.4333,-72.2,71.02,88,20,3.04
127,Yuci,CN,2022-04-07 02:12:18,37.6803,112.7319,58.75,26,0,4.47
128,Houma,US,2022-04-07 02:12:18,29.5958,-90.7195,77.0,88,0,8.05
129,Castro,BR,2022-04-07 02:12:19,-24.7911,-50.0119,62.6,97,55,3.6
130,Constitucion,CL,2022-04-07 02:08:28,-35.3333,-72.4167,55.56,78,18,10.8
131,Vanimo,PG,2022-04-07 02:12:19,-2.6741,141.3028,85.87,67,98,5.64
132,Vila Velha,BR,2022-04-07 02:08:01,-20.3297,-40.2925,78.75,84,75,6.91
133,Bereda,ES,2022-04-07 02:12:20,43.2686,-7.5406,48.15,80,97,10.2
134,Pangnirtung,CA,2022-04-07 02:12:20,66.1451,-65.7125,0.23,82,6,5.68
135,Gushi,CN,2022-04-07 02:12:20,34.6425,109.5843,70.93,22,0,3.15
136,Svetlogorsk,BY,2022-04-07 02:08:28,52.6333,29.7333,42.76,94,100,9.26
137,Enshi,CN,2022-04-07 02:13:21,30.3,109.4833,68.22,60,0,0.45
138,Itarema,BR,2022-04-07 02:10:20,-2.9248,-39.9167,76.82,86,97,6.76
139,Port Lincoln,AU,2022-04-07 02:13:21,-34.7333,135.8667,64.02,62,7,14.09
140,Myitkyina,MM,2022-04-07 02:13:22,25.3833,97.4,78.89,49,68,2.84
141,Ndele,CF,2022-04-07 02:13:22,8.4109,20.6473,72.79,84,100,7.02
142,Zeya,RU,2022-04-07 02:13:22,53.75,127.2667,29.17,37,48,9.71
143,Roald,NO,2022-04-07 02:13:23,62.5833,6.1333,31.75,69,8,11.5
144,Cidreira,BR,2022-04-07 02:13:23,-30.1811,-50.2056,68.74,79,12,13.76
145,Chuy,UY,2022-04-07 02:13:23,-33.6971,-53.4616,60.06,82,0,7.65
146,Riyadh,SA,2022-04-07 02:10:30,24.6877,46.7219,75.34,12,20,10.2
147,Nicoya,CR,2022-04-07 02:13:24,10.1483,-85.452,80.55,78,96,2.06
148,Barrow,US,2022-04-07 02:13:24,71.2906,-156.7887,-5.78,77,0,11.5
149,Whitehaven,GB,2022-04-07 02:13:24,54.549,-3.5841,42.66,90,84,10.0
150,Maniitsoq,GL,2022-04-07 02:13:25,65.4167,-52.9,20.93,90,99,15.7
151,San Cristobal,VE,2022-04-07 02:13:25,7.7669,-72.225,73.58,95,28,2.37
152,Nelson Bay,AU,2022-04-07 02:13:25,-32.7167,152.15,71.1,88,100,17.02
153,Longyearbyen,SJ,2022-04-07 02:13:26,78.2186,15.6401,10.24,67,0,9.22
154,Vardo,NO,2022-04-07 02:13:26,70.3705,31.1107,32.72,80,100,20.8
155,Belaya Gora,RU,2022-04-07 02:13:26,68.5333,146.4167,3.67,87,77,5.17
156,Bambous Virieux,MU,2022-04-07 02:13:27,-20.3428,57.7575,74.21,69,99,11.97
157,Fortuna,US,2022-04-07 02:13:27,40.5982,-124.1573,58.91,72,0,11.5
158,Esperance,AU,2022-04-07 02:13:27,-33.8667,121.9,70.47,59,3,11.27
159,San Patricio,US,2022-04-07 02:13:28,28.017,-97.5169,76.91,35,0,20.31
160,Puerto Madryn,AR,2022-04-07 02:13:28,-42.7692,-65.0385,57.07,80,90,17.47
161,New Norfolk,AU,2022-04-07 02:13:29,-42.7826,147.0587,67.66,34,0,1.74
162,Mar Del Plata,AR,2022-04-07 02:13:29,-38.0023,-57.5575,68.09,87,0,4.61
163,Prince Rupert,CA,2022-04-07 02:13:29,54.3161,-130.3201,39.76,81,100,12.28
164,Aloleng,PH,2022-04-07 02:13:30,16.1307,119.7824,83.97,61,100,4.45
165,Hithadhoo,MV,2022-04-07 02:13:30,-0.6,73.0833,82.0,66,0,1.16
166,Flinders,AU,2022-04-07 02:13:30,-34.5833,150.8552,66.38,90,100,5.01
167,Kruisfontein,ZA,2022-04-07 02:13:31,-34.0033,24.7314,53.89,72,54,16.69
168,Bandarbeyla,SO,2022-04-07 02:13:31,9.4942,50.8122,77.47,76,14,5.57
169,Nome,US,2022-04-07 02:13:31,64.5011,-165.4064,5.07,72,100,4.61
170,Saint-Augustin,CA,2022-04-07 02:13:32,51.226,-58.6502,34.59,81,100,15.35
171,Tuatapere,NZ,2022-04-07 02:13:32,-46.1333,167.6833,54.97,52,41,6.02
172,Linxia,CN,2022-04-07 02:13:32,35.6003,103.2064,57.34,22,0,1.48
173,Los Llanos De Aridane,ES,2022-04-07 02:13:33,28.6585,-17.9182,56.95,75,100,10.36
174,Port Hardy,CA,2022-04-07 02:13:33,50.6996,-127.4199,41.49,89,100,22.75
175,Galveston,US,2022-04-07 02:13:33,29.3669,-94.9669,74.97,48,0,10.0
176,Bambanglipuro,ID,2022-04-07 02:13:34,-7.95,110.2833,81.97,75,100,4.29
177,Viedma,AR,2022-04-07 02:10:25,-40.8135,-62.9967,59.83,81,100,12.84
178,Ixtapa,MX,2022-04-07 02:13:34,20.7,-105.2,73.22,78,40,8.05
179,Torrington,US,2022-04-07 02:13:34,41.8007,-73.1212,48.18,94,100,3.0
180,Korla,CN,2022-04-07 02:13:35,41.7597,86.1469,62.69,22,4,3.47
181,Sitka,US,2022-04-07 02:09:48,57.0531,-135.33,42.69,61,75,24.16
182,Salta,AR,2022-04-07 02:13:35,-24.7859,-65.4117,64.58,84,0,3.44
183,Camacha,PT,2022-04-07 02:13:35,33.0833,-16.3333,56.62,77,40,8.05
184,Vao,NC,2022-04-07 02:14:36,-22.6667,167.4833,78.48,88,100,30.31
185,Alofi,NU,2022-04-07 02:14:36,-19.0595,-169.9187,80.94,77,98,15.41
186,Tiarei,PF,2022-04-07 02:14:36,-17.5333,-149.3333,89.62,74,47,22.3
187,Inhambane,MZ,2022-04-07 02:09:47,-23.865,35.3833,73.4,84,0,8.41
188,Pinheiro Machado,BR,2022-04-07 02:14:37,-31.5783,-53.3811,53.83,78,1,5.01
189,Ishigaki,JP,2022-04-07 02:14:37,24.3448,124.1572,70.88,73,97,15.77
190,Thompson,CA,2022-04-07 02:14:38,55.7435,-97.8558,32.16,93,100,10.36
191,Porosozero,RU,2022-04-07 02:14:38,62.7191,32.727,15.87,96,99,5.17
192,Kahului,US,2022-04-07 02:11:02,20.8947,-156.47,80.62,61,75,20.71
193,Kaya,BF,2022-04-07 02:14:38,13.0917,-1.0844,91.51,29,73,11.39
194,Byron Bay,AU,2022-04-07 02:14:39,-28.65,153.6167,73.94,78,35,11.54
195,Kodiak,US,2022-04-07 02:14:39,57.79,-152.4072,36.91,87,75,4.61
196,Bandarban,BD,2022-04-07 02:14:39,22.1965,92.2262,83.12,56,5,2.08
197,Taitung,TW,2022-04-07 02:14:40,22.7583,121.1444,73.67,73,75,5.75
198,Gazojak,TM,2022-04-07 02:14:40,41.1875,61.4036,62.19,44,14,7.63
199,Iskateley,RU,2022-04-07 02:14:41,67.6803,53.1512,3.0,93,44,8.97
200,Carutapera,BR,2022-04-07 02:14:41,-1.195,-46.02,75.52,94,99,4.63
201,Denpasar,ID,2022-04-07 02:10:07,-8.65,115.2167,82.06,83,40,5.75
202,Laguna,US,2022-04-07 02:14:41,38.421,-121.4238,84.49,22,0,5.75
203,Rostock,DE,2022-04-07 02:13:27,54.0887,12.1405,50.29,86,100,20.15
204,Amparafaravola,MG,2022-04-07 02:14:42,-17.5833,48.2167,67.19,92,100,3.0
205,Khandbari,NP,2022-04-07 02:14:42,27.3747,87.2039,70.92,69,45,1.34
206,Katobu,ID,2022-04-07 02:14:43,-4.9408,122.5276,85.15,65,60,5.59
207,Kirillov,RU,2022-04-07 02:14:43,59.863,38.3813,17.51,95,16,5.46
208,Charcas,MX,2022-04-07 02:14:43,23.1333,-101.1167,68.99,11,22,4.36
209,East London,ZA,2022-04-07 02:14:44,-33.0153,27.9116,60.71,63,8,20.8
210,Iberia,US,2022-04-07 02:11:29,29.9502,-91.7507,73.36,68,100,20.71
211,Codrington,AU,2022-04-07 02:14:44,-38.2667,141.9667,69.57,55,46,14.2
212,Severnyy,RU,2022-04-07 02:14:44,50.677,36.5532,46.44,61,0,8.95
213,Qasigiannguit,GL,2022-04-07 02:14:45,68.8193,-51.1922,23.25,96,100,4.09
214,Emborion,GR,2022-04-07 02:14:45,40.4833,21.55,43.16,95,20,2.62
215,Kalevala,RU,2022-04-07 02:14:45,65.2,31.1667,7.2,97,71,4.21
216,Toyooka,JP,2022-04-07 02:14:46,35.5333,134.8333,68.13,38,92,0.92
217,Kotido,UG,2022-04-07 02:14:46,2.9806,34.1331,73.06,51,57,9.86
218,Sherlovaya Gora,RU,2022-04-07 02:14:47,50.5667,116.25,33.49,52,100,9.78
219,Haines Junction,CA,2022-04-07 02:14:47,60.7522,-137.5108,42.75,33,100,5.75
220,Qaanaaq,GL,2022-04-07 02:14:47,77.484,-69.3632,1.13,93,95,6.11
221,Simpang,ID,2022-04-07 02:14:48,-1.2667,104.0833,72.48,98,100,4.27
222,Lancaster,US,2022-04-07 02:14:48,40.2504,-76.2499,54.03,85,100,13.0
223,Kavieng,PG,2022-04-07 02:14:48,-2.5744,150.7967,81.64,78,100,5.14
224,Cherskiy,RU,2022-04-07 02:14:49,68.75,161.3,-5.06,84,71,0.92
225,Paamiut,GL,2022-04-07 02:11:10,61.994,-49.6678,28.04,97,92,7.18
226,Sakakah,SA,2022-04-07 02:14:49,29.9697,40.2064,67.68,24,18,17.34
227,Mishan,CN,2022-04-07 02:14:49,45.55,131.8833,39.7,37,95,14.09
228,Bay Roberts,CA,2022-04-07 02:15:50,47.5999,-53.2648,36.52,85,100,8.99
229,San Quintin,MX,2022-04-07 02:15:50,30.4833,-115.95,66.38,68,0,5.82
230,Sao Filipe,CV,2022-04-07 02:15:50,14.8961,-24.4956,70.47,77,4,9.04
231,Aksu,CN,2022-04-07 02:15:51,41.1231,80.2644,63.79,18,41,4.38
232,Prescott,US,2022-04-07 02:15:27,34.54,-112.4685,64.96,16,0,3.44
233,Valdivia,CL,2022-04-07 02:13:53,-39.8142,-73.2459,57.29,100,100,1.14
234,Auki,SB,2022-04-07 02:15:51,-8.7676,160.7034,86.83,62,93,9.46
235,Gizo,SB,2022-04-07 02:15:52,-8.103,156.8419,80.47,79,100,25.7
236,Sangar,RU,2022-04-07 02:15:52,63.9242,127.4739,8.58,91,100,4.34
237,Hasaki,JP,2022-04-07 02:15:52,35.7333,140.8333,61.29,77,100,19.13
238,Bengkulu,ID,2022-04-07 02:15:53,-3.8004,102.2655,75.67,87,100,7.4
239,Dublin,US,2022-04-07 02:13:28,37.7021,-121.9358,79.34,35,0,9.22
240,Hofn,IS,2022-04-07 02:15:53,64.2539,-15.2082,29.08,62,0,23.15
241,Ketchikan,US,2022-04-07 02:15:53,55.3422,-131.6461,40.98,87,100,18.41
242,Lompoc,US,2022-04-07 02:15:54,34.6391,-120.4579,82.54,40,0,0.0
243,Medeiros Neto,BR,2022-04-07 02:15:16,-17.3739,-40.2206,72.18,92,3,5.46
244,Puerto Leguizamo,CO,2022-04-07 02:15:54,-0.1934,-74.7819,73.44,93,98,1.74
245,Salalah,OM,2022-04-07 02:15:55,17.0151,54.0924,77.09,78,40,3.44
246,Mattru,SL,2022-04-07 02:15:55,7.6244,-11.8332,76.71,89,100,1.95
247,Saint George,US,2022-04-07 02:15:46,37.1041,-113.5841,65.43,9,0,21.85
248,Kyshtovka,RU,2022-04-07 02:15:55,56.555,76.6271,31.15,87,16,10.29
249,Tutoia,BR,2022-04-07 02:15:56,-2.7619,-42.2744,76.75,90,100,6.02
250,Nikolskoye,RU,2022-04-07 02:15:56,59.7035,30.7861,27.81,89,100,6.06
251,Yerbogachen,RU,2022-04-07 02:15:56,61.2767,108.0108,32.23,100,100,5.01
252,Eidfjord,NO,2022-04-07 02:15:57,60.4675,7.0719,26.28,76,100,6.31
253,Torbay,CA,2022-04-07 02:15:57,47.6666,-52.7314,35.76,91,100,19.57
254,Massakory,TD,2022-04-07 02:15:58,12.996,15.7293,86.5,13,10,8.61
255,Kijang,KR,2022-04-07 02:15:58,35.2442,129.2139,62.33,50,100,4.38
256,Ellisras,ZA,2022-04-07 02:15:58,-23.6649,27.7443,66.18,33,1,4.7
257,Lagoa,PT,2022-04-07 02:15:59,39.05,-27.9833,60.91,85,100,26.42
258,Carballo,ES,2022-04-07 02:15:59,43.213,-8.691,56.55,82,73,11.48
259,Markova,UA,2022-04-07 02:15:59,48.6758,24.4138,43.0,83,98,5.61
260,Marquette,US,2022-04-07 02:16:00,46.5333,-87.6335,37.81,93,100,8.03
261,Culasi,PH,2022-04-07 02:16:00,11.4272,122.056,79.86,83,100,9.69
262,Shetpe,KZ,2022-04-07 02:16:00,44.1667,52.1167,46.98,75,98,15.43
263,Margate,GB,2022-04-07 02:16:01,51.3813,1.3862,50.88,80,100,10.0
264,Camapua,BR,2022-04-07 02:13:01,-19.5314,-54.0439,78.67,61,79,4.68
265,Bulawayo,ZW,2022-04-07 02:16:01,-20.15,28.5833,62.82,61,0,5.01
266,Port Augusta,AU,2022-04-07 02:16:02,-32.5,137.7667,72.61,41,0,13.02
267,Alyangula,AU,2022-04-07 02:16:02,-13.8483,136.4192,89.19,45,35,7.65
268,Talnakh,RU,2022-04-07 02:16:02,69.4865,88.3972,22.89,95,100,1.7
269,Shieli,KZ,2022-04-07 02:16:03,44.1667,66.75,61.14,53,100,8.99
270,San Jose,US,2022-04-07 02:12:08,37.3394,-121.895,79.88,26,0,13.8
271,Manga,BF,2022-04-07 02:16:03,11.6636,-1.0731,86.16,50,92,11.36
272,Acari,PE,2022-04-07 02:16:04,-15.4311,-74.6158,72.79,76,64,2.95
273,Puri,IN,2022-04-07 02:16:04,19.8,85.85,81.12,76,16,13.35
